index	name	abbreviation
1	CA1	CA1
2	CA2	CA2
3	dentate gyrus	DG
4	CA3	CA3
5	tail	Tail
8	subiculum	Sub
9	SRLM or 'dark band'	SRLM
10	cysts	Cyst
